Nomor Peserta,Nilai Akademik,Nilai Portofolio,Essay
105509,88,71,63
101266,77,72,92
106516,60,83,78
102841,82,65,89
100539,76,66,60
109193,96,75,72
107323,90,67,95
105278,84,67,100
104114,63,66,71
106326,68,89,63
107700,87,71,89
102486,89,95,86
100874,83,61,68
109612,92,78,61
101443,79,98,61
103905,68,72,66
108436,67,94,84
109109,83,60,75
104381,73,87,70
106023,77,67,78
103486,60,95,82
109061,71,76,69
101638,88,67,67
106349,96,91,61
109191,85,80,65
103461,92,64,69
106619,74,62,65
106787,82,92,79
108514,88,89,88
104877,80,84,100
101039,78,97,78
103032,64,70,71
108541,82,85,66
101264,95,63,79
104552,79,60,69
103771,67,69,93
107547,68,64,80
102637,73,84,94
102907,65,64,72
106495,60,93,69
108004,68,92,88
104660,75,71,63
109080,75,89,76
104174,71,94,73
105060,64,95,79
100106,99,93,93
109550,88,87,76
100101,86,92,100
104863,70,72,62
102651,87,72,75
107376,95,63,76
107904,78,95,71
107280,94,65,65
101521,90,67,80
100782,78,92,75
107980,83,96,73
108375,61,82,87
106794,66,78,82
108576,90,87,82
106726,76,91,67
100768,86,73,83
103329,95,66,84
102667,69,86,93
105282,73,67,82
101789,66,89,98
103303,98,95,64
103898,99,89,95
100556,68,82,97
105795,73,94,96
106387,67,93,93
109997,76,96,100
103384,82,86,96
108955,75,75,81
101698,85,81,88
108092,68,68,100
103426,95,100,86
106758,66,79,65
103987,77,94,77
107381,67,98,71
109089,80,87,65
106433,85,74,83
107526,62,97,95
108244,76,70,89
100607,83,95,61
102680,84,93,85
107194,64,98,96
107254,96,81,83
104957,83,74,86
108733,90,74,62
107497,85,94,85
106307,80,83,72
108110,93,87,82
103652,97,99,71
103998,83,76,93
104865,87,95,81
100156,89,77,93
102966,93,89,98
109313,82,100,84
108290,67,65,94
101495,69,89,68
100123,60,93,68
104136,79,75,98
108944,96,97,92
101292,77,81,73
106076,80,67,95
101881,63,81,90
100423,61,79,99
102066,80,79,69
109440,96,63,80
109564,64,72,76
106872,76,75,75
109965,70,66,97
109907,100,66,84
102862,90,74,89
107459,87,62,76
108554,91,81,70
102348,80,63,64
104488,66,87,80
105977,69,90,84
106568,87,91,83
106740,95,93,96
101270,79,99,89
102360,72,92,81
101584,78,76,70
100491,70,67,62
106443,94,85,65
106699,93,69,68
105730,63,68,82
105402,72,99,94
102540,96,78,96
104796,61,70,92
102799,60,73,63
100525,99,91,90
107993,84,92,93
109432,96,91,95
103800,95,66,93
100520,65,62,96
107114,66,100,100
101416,63,87,69
103422,94,81,61
108829,100,87,80
107766,93,92,66
102505,88,100,71
103986,64,70,95
105557,86,65,96
104269,92,70,61
106791,69,86,65
102831,65,81,79
103934,93,96,97
101937,67,80,87
108153,90,97,98
109551,68,78,62
108748,80,78,85
107617,67,88,61
101140,63,62,61
101417,81,95,73
102840,87,76,72
106603,63,74,71
103050,98,74,79
109186,80,68,79
100339,67,65,60
101380,79,64,76
107134,91,97,93
105172,60,65,79
101582,65,64,85
105304,87,74,63
104406,90,76,62
103520,69,84,66
100506,79,86,69
108437,67,69,60
101507,81,80,75
102518,97,86,99
103053,88,60,66
105194,68,73,90
102757,60,63,79
104317,100,62,78
105035,98,70,98
100639,85,76,61
104609,70,62,81
100241,94,66,90
101883,83,91,100
103359,92,88,94
101242,79,80,77
101333,86,66,100
103009,74,77,60
100646,92,80,81
108960,66,87,89
105487,93,78,60
102299,64,65,89
107299,89,79,95
108989,87,61,60
100168,77,75,98
100670,95,76,74
101634,62,73,95
104662,80,68,82
102953,75,97,80
107328,96,64,89
109916,64,90,74
105675,73,98,99
107634,90,66,80
104239,83,85,83
107780,94,92,95
104043,95,91,72
108433,69,61,89
108094,86,87,62
100455,86,60,66
105202,82,60,98
105479,72,75,90
100084,75,60,98
106223,94,94,64
107606,86,99,93
107068,98,86,88
106970,76,93,84
103574,100,61,63
102873,60,91,77
103136,70,86,65
109882,71,95,93
104825,73,87,70
102909,67,80,60
104112,90,79,93
106253,66,79,78
101312,90,69,62
105567,75,65,63
107599,98,62,79
105331,78,91,87
103343,67,71,78
102374,88,77,100
103879,61,64,87
103208,62,75,64
104165,88,61,72
108723,74,60,77
104229,97,63,81
101537,87,62,90
108922,96,66,98
102546,91,60,70
108372,89,62,95
108312,89,74,80
102500,93,94,81
103014,72,91,68
102059,92,90,77
108023,76,89,65
105677,62,77,74
108645,68,64,96
108724,70,60,77
106653,86,63,97
108610,87,97,83
104603,61,83,82
106625,60,63,89
108483,65,99,77
106249,84,66,79
102718,94,69,67
101669,75,76,61
103171,63,79,82
102007,97,79,69
103961,79,80,68
107792,84,61,79
102093,66,90,85
101079,80,91,81
103697,66,99,86
107173,88,87,71
103347,66,92,74
103216,62,81,89
100558,88,96,78
103594,88,61,90
109324,98,99,99
100360,97,63,93
105167,65,80,80
107712,69,81,94
106246,96,76,94
105036,73,70,90
107402,81,60,81
109221,91,89,96
102751,77,68,65
103797,95,100,67
108566,68,73,60
109108,85,64,93
101201,81,63,68
100951,97,62,64
102562,82,62,81
107170,76,65,78
100997,85,69,93
104242,97,70,95
106573,61,63,83
108707,65,87,91
101342,66,99,81
107609,72,87,76
107441,86,83,84
100769,70,93,90
102251,74,80,72
109843,68,67,64
107238,67,86,85
106645,65,82,83
106496,63,67,73
106269,70,94,64
106347,87,72,87
106965,85,79,69
104032,63,79,84
103075,74,82,99
107264,78,62,67
108783,65,74,99
105532,64,64,62
106899,77,74,82
103382,65,90,79
106814,90,90,81
105928,84,81,80
106067,63,76,76
100774,65,78,75
104672,100,92,94
106048,96,77,62
101901,84,70,97
101018,93,69,72
108344,78,90,83
102038,93,64,72
100626,74,93,95
106442,67,93,99
108601,93,75,72
101191,77,62,95
106875,89,100,87
104510,72,76,95
109513,92,73,80
109732,94,81,88
106173,83,71,69
104714,85,77,88
100517,60,98,89
101519,72,97,82
101710,69,70,88
109431,78,62,99
109520,64,83,88
100184,67,66,95
101487,63,80,66
104894,72,80,98
106374,97,98,98
101960,78,65,96
101897,67,65,60
103582,86,76,60
103650,89,72,75
108215,63,82,64
106537,70,75,90
101775,80,99,91
104704,61,64,79
100405,80,99,93
104338,76,77,79
104441,88,91,81
107701,86,86,90
100209,83,89,89
100775,62,71,86
103741,98,98,92
107971,69,61,76
107255,62,89,75
102023,85,98,96
103284,96,63,75
109799,86,77,66
106542,64,77,90
105950,70,64,80
109985,72,78,89
102068,100,77,100
101469,93,94,81
106601,97,63,91
103943,99,89,63
106617,92,79,63
101271,93,78,64
109928,86,99,80
109475,95,70,62
101987,85,89,71
102434,84,68,72
108196,78,100,97
108924,80,84,68
107516,90,94,82
101241,88,81,100
109821,68,65,72
108548,78,64,86
102433,85,96,86
106910,84,99,77
101145,99,81,99
108772,88,96,63
108710,84,72,65
105741,78,73,83
103883,63,63,99
104669,79,100,96
106926,60,95,70
101477,70,99,64
109878,63,90,83
102013,66,77,76
102489,87,87,73
100897,95,63,63
107658,66,86,86
109435,79,71,94
103337,94,71,62
100189,98,79,73
106670,80,81,82
101702,60,63,72
101045,96,96,69
102782,62,81,76
108212,93,99,63
104790,72,86,60
101121,75,89,72
106315,93,77,94
103419,83,73,60
106097,72,61,81
103764,65,81,88
103277,98,71,61
103052,61,80,86
109110,70,69,60
101246,66,71,81
108421,66,67,82
109630,98,88,94
107371,98,75,93
102170,71,97,85
103415,81,87,67
107559,62,81,71
106168,72,85,81
105841,89,84,82
101358,69,98,67
101229,68,69,93
104927,65,69,87
102243,61,93,67
102411,75,72,98
106454,72,61,66
105691,72,88,100
108515,81,99,85
104991,78,96,63
104946,85,88,68
106937,73,95,74
107740,90,63,78
105743,88,88,67
105842,81,69,78
106123,66,95,79
103782,96,66,98
100169,100,75,90
103312,86,83,74
101930,90,77,75
100016,65,98,64
107695,75,85,90
106119,97,66,94
102293,97,77,71
106735,91,99,77
102940,92,81,69
100926,76,71,97
103088,92,85,93
101662,70,100,73
108445,72,67,97
101020,89,87,77
107975,60,70,96
108431,89,72,89
104943,86,86,84
109179,99,70,99
100551,82,96,61
105987,79,97,95
108794,65,92,98
100942,96,65,93
108972,79,69,94
101457,96,86,98
108824,65,98,91
103234,88,84,66
101752,72,64,88
109776,86,70,73
105166,79,90,100
101051,72,85,81
101131,98,92,80
101427,67,87,78
101260,76,85,83
103668,89,87,64
101877,60,62,87
104594,83,74,84
103300,75,61,72
105346,70,61,89
106357,63,68,88
103307,63,99,82
105171,76,87,69
101539,69,68,97
101361,80,81,78
108392,97,61,94
107856,77,64,75
102947,69,77,86
109750,75,63,71
106832,98,90,77
106157,74,83,88
104878,93,76,79
105755,64,85,76
103637,76,87,78
101713,96,75,84
100258,67,84,65
109413,83,61,77
108144,87,70,87
102681,67,69,76
101571,82,69,81
106916,94,61,90
101021,90,70,61
107353,76,89,63
108139,87,78,100
106796,71,72,68
100903,83,60,88
101828,74,89,74
108738,99,62,97
107431,90,65,76
107308,86,76,69
104364,94,74,61
105870,77,70,81
108522,95,64,67
108789,67,66,68
101251,97,83,85
104996,64,81,85
108201,73,64,94
104354,97,100,69
107247,79,61,95
103361,68,75,84
101728,92,73,85
102665,77,90,61
101922,65,100,66
108715,96,95,77
103833,61,73,96
109262,89,87,86
105819,65,99,98
102558,76,72,71
104014,98,66,66
107140,100,100,62
109523,82,77,71
103945,90,97,95
101745,79,62,81
106678,64,63,72
106294,80,72,78
102272,70,84,83
102171,63,73,100
100134,82,63,65
101546,97,78,83
109256,89,81,70
102713,100,99,62
107947,77,97,68
106559,100,87,90
104554,90,73,75
104789,89,83,99
105705,93,74,84
106148,90,77,60
103695,97,84,93
109340,84,94,81
104803,76,74,99
101331,95,64,95
109391,99,90,89
106021,89,88,98
100904,61,94,81
103081,83,77,85
109700,68,93,97
102029,60,70,72
107560,83,94,81
109484,97,81,84
108156,86,77,83
100715,85,64,94
101433,85,74,91
106691,66,92,64
101135,84,96,93
107742,75,84,66
104766,97,92,91
101551,77,70,86
103767,76,64,80
104585,65,60,92
101693,79,76,66
102332,82,94,63
106071,71,77,76
100816,71,95,84
106065,93,68,66
103533,67,89,90
104855,86,73,61
107112,67,87,93
103580,92,69,66
101784,96,97,84
101587,78,97,92
100576,83,81,67
102227,81,81,62
104303,62,95,70
104257,68,100,61
103045,70,88,94
107436,65,70,62
107737,98,84,91
105301,98,86,90
100144,96,64,94
106772,61,61,89
103133,96,85,70
101074,65,84,72
109490,65,96,85
107146,98,98,80
105753,95,78,68
100676,84,75,68
107446,75,100,90
108808,80,99,98
107849,69,60,69
104048,64,72,97
105517,84,61,79
109941,90,93,75
104163,62,71,80
102590,79,99,75
109399,63,71,74
103221,73,62,79
109459,71,87,84
107481,73,80,60
108845,96,60,83
108696,77,85,100
101889,86,96,86
100023,66,93,87
105564,94,60,100
102399,81,94,95
101996,80,76,96
108644,77,84,67
100276,97,83,71
109949,85,81,96
109214,81,85,89
107687,96,76,81
109777,64,88,76
102733,94,79,66
102988,71,65,80
105440,94,72,84
100813,93,62,95
105442,79,94,76
104145,71,82,84
108301,93,94,87
103647,85,65,65
102846,93,91,91
104792,91,100,85
103336,66,79,67
105160,85,98,92
105941,84,96,85
100740,98,83,82
100194,76,84,75
107840,83,99,96
103327,86,69,75
102407,63,82,84
102304,86,78,73
100592,89,93,83
107711,62,77,78
109737,65,88,77
108897,67,73,68
106382,75,73,81
106333,74,85,96
100971,95,94,73
101532,99,73,99
103367,67,86,95
103051,98,93,76
109851,89,77,97
107274,71,85,73
109764,63,96,93
109165,73,89,71
108075,84,66,60
105859,64,100,74
101365,82,76,84
101463,89,89,87
107496,98,63,80
101518,71,74,90
104528,74,79,74
105109,78,88,90
108090,85,95,76
100224,63,95,60
106507,97,93,64
103236,67,69,64
102736,89,97,78
106040,74,89,95
104733,71,62,78
101190,69,74,61
104240,71,67,93
103586,76,61,80
101218,99,70,87
101156,61,74,71
102210,78,62,92
104287,88,80,99
102774,60,88,67
109304,81,97,85
108074,84,66,81
102963,69,72,92
101214,68,66,69
103770,78,71,67
104498,71,82,75
100923,88,82,92
105496,77,82,84
109027,75,94,74
106780,63,75,80
102189,84,88,84
109449,81,84,82
101740,88,71,94
107802,81,70,91
107637,74,67,62
100119,61,97,71
106903,72,78,83
102581,71,81,63
100983,85,88,67
106821,99,67,69
109664,71,92,70
106764,86,60,90
105270,94,94,61
107409,61,97,80
100309,76,88,78
100076,61,89,97
107338,76,66,83
100138,93,64,100
103506,93,69,86
106300,98,67,65
102635,100,78,80
106681,68,90,66
104172,73,73,65
104256,79,85,73
108590,92,99,63
104644,83,94,92
101452,64,80,88
105477,91,84,84
108219,82,75,87
106105,60,75,97
100204,97,81,62
109134,91,66,93
103193,75,90,79
106114,79,82,76
106765,75,92,73
108121,72,78,76
106181,70,70,93
106688,76,89,66
104409,66,86,88
101544,81,71,60
109120,90,86,90
108538,63,89,68
109936,76,76,64
106515,60,68,69
109690,61,68,79
102035,92,94,67
107755,78,88,97
103646,78,98,81
107827,82,100,99
103972,75,60,78
109122,75,96,95
109632,88,86,86
102678,67,74,60
109900,87,94,62
100346,84,92,91
100800,84,99,96
107513,72,96,93
106116,73,80,66
109927,78,63,73
109133,74,91,93
107373,74,74,84
108818,80,61,98
100742,67,91,94
106551,87,92,80
106237,75,93,76
100709,83,71,74
108860,71,70,74
107995,73,72,80
107304,89,62,72
104725,91,65,80
104040,78,75,76
103995,64,83,88
103779,88,88,74
103707,61,74,97
100784,83,80,81
106242,76,100,69
104971,86,65,96
109488,62,80,82
108901,77,96,82
100623,80,90,66
105943,98,61,85
100404,60,97,66
109602,66,82,76
106490,82,82,69
108719,75,97,96
107143,70,75,65
100149,94,80,96
103114,100,70,93
106129,98,96,81
109463,81,95,86
105448,94,74,63
105147,92,90,69
100822,95,87,68
104970,99,60,64
105103,87,94,65
100944,70,65,75
107822,64,74,99
100727,77,92,63
103033,63,60,76
103176,97,63,94
107854,90,72,91
109829,83,85,69
105908,89,91,96
104180,98,63,90
103479,90,67,69
108175,71,88,98
107619,62,73,92
102954,89,73,62
109689,67,99,71
103146,69,74,84
100001,83,86,84
100079,60,100,87
108940,77,82,73
109831,100,60,64
103241,81,87,78
104322,90,63,65
105258,86,87,66
107401,75,88,72
103640,77,76,96
109536,70,88,70
100288,77,81,94
104039,63,86,93
100984,99,64,79
100860,69,72,78
100770,89,83,73
101301,63,81,100
105515,67,94,77
108635,76,66,98
101949,94,80,61
100581,64,97,70
107773,86,75,71
102807,96,74,76
109196,66,94,81
106790,92,85,79
101676,77,72,91
105527,97,64,69
104750,87,73,97
105576,74,92,82
105162,82,78,79
103124,91,74,60
101924,68,98,66
108537,89,96,62
103928,88,100,61
101976,91,86,69
104537,94,90,83
107050,77,99,83
109647,88,60,97
101126,76,93,87
104922,68,84,88
107042,67,76,97
103947,72,68,97
107012,92,92,99
102264,80,61,62
102832,71,76,83
109446,89,83,94
104827,100,89,60
101134,60,67,96
101356,80,89,63
100542,88,97,60
101179,73,61,85
100472,97,99,87
100963,99,76,96
102180,64,96,61
103475,72,86,67
100624,97,92,93
109405,64,80,88
100368,96,69,96
106819,76,78,98
107176,78,96,100
104193,97,77,97
108646,90,79,95
104565,95,68,77
102883,60,85,86
103789,69,85,73
107940,93,71,90
101936,72,95,79
101263,66,96,80
105554,96,81,72
105828,95,75,70
106110,98,86,80
106999,96,88,87
106384,90,94,83
106255,79,78,94
102739,98,90,94
104823,95,88,77
104901,74,84,98
109876,89,65,88
107056,77,83,60
102742,63,86,99
101708,89,80,75
106874,87,67,95
105751,63,62,71
109013,93,76,82
100406,87,87,73
107454,96,89,97
106698,81,67,68
104751,99,95,61
100555,70,97,99
102553,89,98,98
101646,89,70,85
104767,84,94,92
109806,76,80,77
103839,60,74,81
109774,96,90,62
102124,94,85,72
101176,73,98,96
108896,61,92,72
101403,62,93,60
101441,62,79,63
107670,79,79,96
109229,72,89,61
105149,90,97,100
100392,99,61,67
105611,81,68,68
105969,73,64,88
105138,86,97,96
107770,72,98,93
109178,60,85,65
107302,61,85,89
107681,96,97,66
108054,70,98,89
100996,92,83,81
106702,88,73,100
103154,62,92,74
100729,88,80,94
101506,61,88,92
101315,73,97,87
109360,79,66,72
106969,77,60,91
107746,96,97,75
107620,67,77,71
101671,66,76,92
105483,69,81,61
100601,75,69,74
107492,78,62,93
104195,89,61,87
109667,78,61,81
106864,62,99,93
108687,89,82,97
108575,77,80,61
103073,95,70,79
109023,79,69,71
106880,76,64,64
104192,83,83,69
107137,72,68,87
101895,95,76,75
108689,62,94,61
105856,80,90,95
109991,63,68,60
108306,77,95,76
105309,98,88,68
101547,70,83,77
108996,97,65,98
104671,100,95,80
102471,87,88,60
103224,64,72,83
102183,82,96,77
104592,97,86,68
107682,95,80,69
108016,90,95,87
103742,67,83,69
108068,84,62,98
103904,84,70,91
108405,75,64,67
101614,70,95,70
107456,79,95,66
103813,73,78,66
101601,99,78,97
105580,97,86,78
102465,99,93,91
107364,78,99,85
101599,67,79,97
108369,84,79,74
107646,92,64,97
108974,99,74,84
104873,100,71,63
107389,96,97,90
109351,76,81,68
103937,86,65,76
108559,100,74,81
100968,76,66,66
100183,92,74,64
108565,90,66,90
109386,80,70,83
106506,83,77,61
100707,75,83,100
108529,79,62,67
106320,94,82,69
106467,87,78,99
106054,94,76,68
102599,77,62,88
108665,83,68,76
104308,87,81,80
107676,73,95,64
105760,83,71,95
106638,90,75,100
102320,65,80,75
106252,99,82,95
108751,93,97,93
109105,94,85,72
108594,88,67,74
105265,61,84,94
104613,64,75,63
102998,81,71,65
104258,68,83,91
104548,93,85,83
106502,95,92,100
101108,95,83,72
103293,85,99,60
107206,65,78,86
103997,61,95,83
102557,95,93,74
102324,67,71,85
101665,61,94,75
105493,61,87,68
105083,67,74,87
109284,85,63,95
108947,96,68,83
105543,73,61,71
109085,87,68,65
103066,92,75,62
106359,79,73,77
102694,94,62,96
101981,96,68,99
103922,76,100,67
105407,63,79,93
106743,68,72,91
107875,79,78,88
103733,60,87,71
101620,80,87,88
102945,92,81,87
100350,94,76,83
103338,65,98,92
108399,81,64,80
104701,84,91,95
101282,62,83,92
100792,67,95,63
105559,71,75,72
101001,88,77,93
109147,91,71,98
106718,61,93,99
106441,76,81,88
106348,78,84,77
108284,74,74,85
101619,81,77,86
109293,65,96,87
100343,93,89,62
105544,62,91,79
108979,87,65,92
102627,100,97,85
102512,79,62,87
101691,75,89,72
108524,67,91,64
107488,89,94,65
107650,95,63,80
105903,93,72,87
106853,76,95,63
104181,84,80,60
108700,65,98,94
106410,79,88,69
101888,77,68,95
104035,92,78,97
106660,82,70,61
109762,93,77,93
100165,98,93,86
108542,69,84,72
108321,65,72,84
102612,72,73,83
107976,76,62,93
109481,77,87,90
109502,64,88,68
106873,85,80,99
100281,74,60,91
101802,77,100,64
109065,89,100,74
105418,66,81,71
109798,88,83,89
100313,70,77,89
100974,65,89,77
101410,96,94,64
103356,96,87,62
100679,80,98,72
107010,82,69,66
100476,70,94,73
105225,90,97,74
100781,74,85,67
101964,61,81,82
105573,100,91,100
106569,67,71,66
101797,65,73,66
104711,75,75,62
106526,92,80,76
108571,83,69,84
104809,74,100,62
104501,94,76,83
104611,89,98,91
104771,85,100,70
102916,64,79,65
104337,60,76,90
105664,86,65,69
102503,80,78,70
108277,65,86,86
103348,84,99,61
109953,77,92,94
105995,64,100,100
108020,92,70,62
108309,77,91,60
100110,68,66,79
109768,69,98,100
107473,96,85,61
101761,91,69,69
108429,90,96,79
102181,69,67,66
100021,95,79,70
108861,92,65,93
106393,74,66,82
103416,83,87,92
102891,92,85,72
104902,88,79,62
103178,93,99,67
104837,68,81,67
102762,97,98,68
107665,62,72,63
104265,77,84,60
102973,75,91,78
105168,63,87,76
100660,81,73,78
104186,89,73,60
102464,97,60,87
101850,82,72,80
107190,78,79,70
101404,67,71,63
105454,86,69,97
102419,64,87,79
105992,85,100,79
106386,86,99,78
104150,79,95,65
103788,74,99,62
106389,78,75,81
106152,92,83,99
101322,87,91,94
101711,96,78,85
105351,98,72,94
109926,80,63,87
104968,63,100,100
102928,78,77,98
109794,73,71,85
104854,91,98,73
101640,93,94,91
107796,78,92,71
105276,72,61,73
106288,87,83,99
102833,99,61,62
106784,94,94,63
108322,67,95,88
104712,90,60,85
107924,76,87,66
105667,61,88,65
100510,84,74,73
103622,76,90,92
105991,87,69,81
109470,97,71,78
103112,84,85,88
103807,72,83,82
100259,64,87,73
104231,100,90,97
104463,74,91,82
100832,70,73,60
104539,87,68,94
108073,74,78,65
108272,98,76,100
106030,73,64,88
109308,64,74,79
109211,82,71,81
105232,75,83,65
105732,89,61,76
107963,74,78,87
101256,85,67,100
106675,71,86,79
104300,91,72,86
109724,87,78,71
106398,82,64,84
108019,80,63,98
100545,62,62,69
105933,85,82,97
105715,60,70,76
104979,91,100,68
105000,66,66,84
100394,78,97,100
109346,82,97,61
108107,85,75,72
109414,73,77,85
102371,72,98,63
102501,97,99,89
104889,79,61,72
107464,91,99,69
108225,88,65,78
101523,79,66,87
102475,100,74,84
108894,100,86,89
105612,85,68,75
104715,89,68,90
101998,88,73,90
105937,70,84,78
108618,80,91,73
108643,77,81,74
104646,60,60,68
105896,99,74,78
102138,98,88,64
106605,94,92,73
109580,61,61,86
107645,82,91,90
105989,82,81,76
107942,99,70,74
102216,88,84,93
101557,61,75,100
108176,81,60,82
100731,62,83,93
100317,92,67,99
107485,66,98,88
102222,98,87,91
108458,95,79,69
100244,96,100,95
109887,83,78,96
101681,78,82,60
107528,98,74,84
104763,85,97,95
105575,75,76,100
104018,87,92,66
101129,81,99,77
105394,61,100,93
102080,69,93,71
109511,77,92,99
102881,71,91,64
109168,60,91,88
100970,63,89,92
106403,96,88,77
102837,80,69,69
107702,79,85,88
106375,65,83,100
100669,80,93,79
106753,64,94,69
106183,76,97,71
102514,76,85,86
103305,65,77,82
103799,92,99,68
103169,82,86,100
101565,63,72,62
108615,68,73,75
105071,88,98,86
104650,70,88,89
109945,98,84,71
107627,88,63,77
108345,91,84,92
102692,71,89,99
109943,94,64,67
100457,87,69,65
106327,67,64,77
105272,99,100,68
106444,98,97,90
108767,65,62,70
101768,69,82,94
109287,84,68,78
106160,72,60,65
109906,100,65,89
109141,93,72,61
104773,74,78,99
101914,75,70,96
106808,64,87,90
101497,82,62,74
105241,62,74,68
109703,67,92,100
107382,68,66,89
103820,65,64,62
104898,99,62,84
106779,75,62,99
102689,75,85,62
105221,85,69,62
106437,82,91,83
102804,85,84,98
108455,85,75,68
100161,79,78,94
103642,89,74,69
101386,69,71,90
104707,71,92,62
109753,95,73,77
106169,86,74,88
103248,99,78,79
101367,78,90,73
105637,68,70,64
105319,61,94,70
105262,95,95,63
106178,70,81,73
106768,70,80,68
102923,84,82,69
109651,91,75,70
109816,87,93,62
